id_cita;cita_es;cita_la;cita_original;autor_es;referencia;autor_la;bio_es;bio_la;codigo;idioma_es;idioma_la;nacion_es;nacion_la;epoca_es;epoca_la;imagen;imagen_atr
1;La vida es bella;Vita pulchra est;La vie est belle;Refrán Francés;;Sententia Gallica;Refranes populares de la tradición oral francesa que transmiten observaciones sobre la vida, el trabajo y la conducta humana.;Collectio sententiarum Gallicarum.;fr;Francés;Lingua Gallica;Francia;Francia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/1GSsmt8h/francia.png;0
2;A caballo regalado, no le mires el diente;Equi dati dentes non inspiciuntur;A caballo regalado, no le mires el diente;Refrán Español;;Sententia Hispanica;Refranes populares de la tradición oral hispana que expresan de forma breve y ingeniosa enseñanzas prácticas sobre la vida cotidiana.;Collectio sententiarum Hispanicarum.;es;Español;Lingua Hispanica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/Y4f7TZWm/espa-a.png;0
3;Cada persona es diferente;Quot homines, tot sententiae;十人十色;Proverbio Japonés;;Proverbium Iaponicum;Expresiones tradicionales de la cultura japonesa que resumen enseñanzas morales, filosóficas y prácticas derivadas del budismo, el sintoísmo y la experiencia popular.;Collectio sententiarum Iaponicarum.;ja;Japonés;Lingua Iaponica;Japón;Iaponia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/svZg6Fc2/japon.png;0
4;Sin esfuerzo no se consigue nada;Sine labore nihil obtinetur;Без труда не выловишь и рыбку из пруда;Refrán Ruso;;Sententia Russica;Dichos tradicionales del pueblo ruso que condensan la experiencia colectiva, el ingenio y la filosofía popular transmitida de generación en generación.;Collectio sententiarum Russicarum.;ru;Ruso;Lingua Russica;Rusia;Russia;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/HLT9WZLw/rusia.png;0
5;La vida está en el movimiento;Vita in motu est;生命在于运动;Proverbio Chino;;Proverbium Sinense;Conjunto de proverbios tradicionales de la cultura china que transmiten sabiduría popular, valores morales y enseñanzas prácticas transmitidas oralmente durante siglos.;Collectio sententiarum Sinensium, magnopere in cultura tradita.;zh;Chino;Lingua Sinica;China;Sinae;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/qLfpZm6h/china.png;0
6;Ojo por ojo, diente por diente;Oculum pro oculo, dentem pro dente;עַיִן תַּחַת עַיִן שֵׁן תַּחַת שֵׁן;Biblia;Exodus 21:24;Biblia Sacra;La Biblia es el conjunto de libros sagrados del judaísmo y el cristianismo, compuesta por el Antiguo Testamento (escrito aproximadamente entre 1445 a.C. y 400 a.C.) y el Nuevo Testamento (escrito entre 40 d.C. y 95 d.C.). Fue redactada por múltiples autores a lo largo de aproximadamente 1500 años, incluyendo profetas, apóstoles, sacerdotes y escribas.;Liber Scripturae Sacrae est collectio librorum iudaicae et christianae religionis, quae ex Vetere Testamento (circiter inter 1445 a.C. et 400 a.C. scripta) et Novo Testamento (circiter inter 40 d.C. et 95 d.C. scripta) constat. A multis auctoribus per circiter mille et quingenta annos scripta est, prophetis, apostolis, sacerdotibus et scribis inclusi.;he;Hebreo;Lingua Hebraica;Israel;Israel;Edad Antigua;Antiquitas;https://i.ibb.co/mF9zsdM5/bible.png;0
7;"El amor es fuerte como la muerte; los celos son crueles como la tumba";Fortis est ut mors dilectio, dura sicut infernus aemulatio;כִּי־עַזָּה כַמָּוֶת אַהֲבָה קָשָׁה כִשְׁאוֹל קִנְאָה;Biblia;Canticum Canticorum 8:6;Biblia Sacra;La Biblia es el conjunto de libros sagrados del judaísmo y el cristianismo, compuesta por el Antiguo Testamento (escrito aproximadamente entre 1445 a.C. y 400 a.C.) y el Nuevo Testamento (escrito entre 40 d.C. y 95 d.C.). Fue redactada por múltiples autores a lo largo de aproximadamente 1500 años, incluyendo profetas, apóstoles, sacerdotes y escribas.;Liber Scripturae Sacrae est collectio librorum iudaicae et christianae religionis, quae ex Vetere Testamento (circiter inter 1445 a.C. et 400 a.C. scripta) et Novo Testamento (circiter inter 40 d.C. et 95 d.C. scripta) constat. A multis auctoribus per circiter mille et quingenta annos scripta est, prophetis, apostolis, sacerdotibus et scribis inclusi.;he;Hebreo;Lingua Hebraica;Israel;Israel;Edad Antigua;Antiquitas;https://i.ibb.co/mF9zsdM5/bible.png;0
8;Pienso, luego existo;Cogito, ergo sum;Je pense, donc je suis;René Descartes;Principia Philosophiae, Pars I, §7 (1644);Renatus Cartesius;Filósofo y matemático francés.;Philosophus et mathematicus Francogallicus.;la;Latín;Lingua Latina;Francia;Francia;Edad Moderna;Nova Aetas;https://i.ibb.co/pjycYzXh/descartes.png;0
9;Porque el conocimiento mismo es poder;Nam et ipsa scientia potestas est;Nam et ipsa scientia potestas est;Francis Bacon;Meditationes Sacrae, De Haeresibus (1597);Franciscus Bacon;"Filósofo y estadista inglés, autor de ""El conocimiento es poder"".";"Philosophus et civis Anglicus, auctor ""Scientia potentia est"".";en;Inglés;Lingua Anglica;Reino Unido;Regnum Unitum;Edad Moderna;Nova Aetas;https://i.ibb.co/xtWthbfv/bacon.png;0
10;La vida feliz es el gozo de la verdad;Beata vita est gaudium de veritate;Beata vita est gaudium de veritate;San Agustín;Confessiones, Liber X, Caput XXIII, 33;Aurelius Augustinus;Filósofo y teólogo cristiano.;Philosophus et theologus Christianus.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/chhLXqTZ/agustin.png;0
11;La felicidad no depende de quién eres o de lo que tienes, sino de lo que piensas;Felicitas non pendet ex eo quis sis aut quid habeas, sed ex eo quod cogites;"Happiness doesn't depend on who you are or what you have; it depends on what you think";Dale Carnegie;How to Win Friends and Influence People (1936);Daleus Carnegieus;Escritor y conferencista estadounidense, autor de libros de desarrollo personal.;Scriba et orator Americanus, auctor librorum de progressu personali.;en;Inglés;Lingua Anglica;Estados Unidos;Civitates Foederatae Americae;Edad Contemporánea;Aetas Contemporanea;https://i.ibb.co/BFB74pj/carnegie.png;0
12;No dejes para mañana lo que puedas hacer hoy;Noli in crastinum differre quod hodie facere potes;No dejes para mañana lo que puedas hacer hoy;Refrán Español;;Sententia Hispanica;Refranes populares de la tradición oral hispana que expresan de forma breve y ingeniosa enseñanzas prácticas sobre la vida cotidiana.;Collectio sententiarum Hispanicarum.;es;Español;Lingua Hispanica;España;Hispania;Epoca Desconocida;Epocha Ignota;https://i.ibb.co/Y4f7TZWm/espa-a.png;0
13;Aprovecha el día, confiando lo menos posible en el mañana.;Carpe diem, quam minimum credula postero;Carpe diem, quam minimum credula postero;Horacio;Odas I, 11;Quintus Horatius Flaccus;"Poeta lírico romano, autor de ""Carpe diem"".";"Poeta lyricus Romanus, auctor ""Carpe diem"".";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/KjBfHkQ2/horacio.png;0
